confidence_threshold,margin_threshold,rows,precision_auto,precision_wilson_lower_95,coverage,correct_auto,wrong_auto,net_cost_seconds,abstentions,correct_refusal_rate_blank,recall_at_3_answerable,recall_at_3_reviewed,cross_tenant_violations,safety_block_auto_violations,p50_latency_ms,p95_latency_ms,max_latency_ms
0.985,0.1,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.985,0.15,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.985,0.2,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.99,0.0,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.99,0.02,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.99,0.05,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.99,0.08,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.99,0.1,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.99,0.15,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.99,0.2,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.995,0.0,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.995,0.02,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.995,0.05,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.995,0.08,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.995,0.1,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.995,0.15,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
0.995,0.2,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
1.0,0.0,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
1.0,0.02,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
1.0,0.05,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
1.0,0.08,420,1.0,0.8620194241710247,0.05714285714285714,24,0,15360,396,1.0,0.9322033898305084,0.9261992619926199,0,0,30.58929997496307,41.89770016819239,49.58069999702275
